,Regressor,R2_nn,R2_np,R2_ns,R2_pp,R2_ss,RMSE_nn,RMSE_np,RMSE_ns,RMSE_pp,RMSE_ss
0,KernelRidge,-0.7024295698699996,-1.0035276638309427,0.6752898879040528,-2.0375928734816258,0.15175589530358624,7.266911447218843,17.194056645810146,7.266911447218843,15.559713828409494,9.966634905049819
1,Lasso,0.3279176016945431,0.5885326732876162,0.4472492944880103,0.2843545036130903,0.24667897428873314,9.498308377186158,7.400204431068264,8.98485545573426,9.200965650543065,9.836602932794566
2,ElasticNet,0.3279176016945431,0.5885326732876162,0.4472492944880103,0.2843545036130903,0.24667897428873314,9.498308377186158,7.400204431068264,8.98485545573426,9.200965650543065,9.836602932794566
3,GradientBoost,0.644387146714505,0.5892086451181819,0.7659801191369892,0.6513965026035,0.564437194762289,6.947618706008173,7.566262000452465,6.370965478549027,6.772746897150474,7.565787604438983
4,XGB,0.6705737947552664,0.6489523272652205,0.7244819536010875,0.6653352802015677,0.5556989987030444,6.763249185153015,6.929130440878255,6.685488219916074,6.686748107112434,7.748546529049516
