,Regressor,R2_nn,R2_np,R2_ns,R2_pp,R2_ss,RMSE_nn,RMSE_np,RMSE_ns,RMSE_pp,RMSE_ss
0,KernelRidge,0.30644459597119134,0.7185373477349144,0.8685957559306863,-0.21427992886960345,0.74024521537372,5.248404654125377,6.628232500380687,5.248404654125377,10.300224966319359,6.075724215635597
1,Lasso,0.5794130385822401,0.6338389483995679,0.8001497726058202,0.339052528072017,0.7619080218498754,7.6306431426025725,7.283579602925964,6.204462151315577,8.97281973956472,5.919182140414371
2,ElasticNet,0.5794130385822401,0.6338389483995679,0.8001497726058202,0.339052528072017,0.7619080218498754,7.6306431426025725,7.283579602925964,6.204462151315577,8.97281973956472,5.919182140414371
3,GradientBoost,0.7065975961671433,0.7133099961149119,0.8997862239710345,0.6636399083064619,0.8067057833768835,6.245671938224763,6.534403516341474,4.86405230504308,6.794567542336541,5.196867894427479
4,XGB,0.7153248596029549,0.7040669777126478,0.8801727917595937,0.7010797023889398,0.7928150969604444,6.286254955583324,6.6286509256244965,5.105809429820085,6.404591542742432,5.36738075557242
